Unnamed: 0,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,topic,age
76885,godsmack,immune,1998,rock,come world society futher place home land death good place rule break rule life death live today stress life twist twist like brain accept accept yeah face yeah immune superstition jinx like black inside crave breakdown remember forget forget identity yeah face yeah immune yeah face yeah immune yeah yeah matter ways matter ways freak matter mind matter mind anymore suck life yeah face yeah immune yeah face yeah immune face face face yeah,74,0.0009074410605,0.3481907729,0.375448067,0.0009074410547,0.2254138172,0.0009074410338,0.0009074410175,0.000907441086,0.0009074410605,0.01938884093,0.0009074410588,0.000907441046,0.0009074411684,0.0009074411542,0.0009074410847,0.01885432719,world/life,0.3142857143
65394,dennis brown,second chance,1993,reggae,maybe maybe treat good feel second best girl sorry blind mind mind maybe hold lonely lonely time guess tell feel second best girl sorry blind mind mind tell tell sweet hasn die satisfy satisfy little things say take time mind mind mind mind,43,0.001223990232,0.02994333018,0.001223990249,0.3066884538,0.001223990269,0.0334397287,0.06963708365,0.4266689899,0.001223990221,0.001223990227,0.001223990234,0.001223990217,0.001223990221,0.0568423252,0.001223990299,0.06209220575,night/time,0.3857142857
10980,the black crowes,sister luck,1990,pop,worry sick eye hurt rest head life outside girls dance cause right feel second fiddle dead neck disregard like beat walk broadway want hear sister luck scream somebody sister luck scream somebody flip coin head turn surprise sleep hold hand candle flame burnin weep sister luck scream somebody sister luck scream somebody shame repeat,54,0.001119820844,0.4824899407,0.001119820936,0.001119820985,0.001119820854,0.1136509104,0.00111982102,0.001119820903,0.0011198209,0.001119820857,0.00111982087,0.07822173888,0.001119820839,0.05113170479,0.03157126038,0.2028618578,violence,0.4285714286
842,jerry lee lewis,your cheating heart,1960,pop,cheat heart weep sleep sleep come night cheat heart tell tear come like fall rain toss gonna walk floor cheat heart gonna tell tear come,25,0.2047396081,0.002506265774,0.00250626568,0.1298181884,0.002506265666,0.002506265691,0.002506265712,0.002506265934,0.002506265841,0.002506265712,0.002506265803,0.002506265814,0.002506265682,0.002506266225,0.4746070722,0.002506265675,sadness,0.8571428571
2764,paul anka,eso beso,1966,pop,beso kiss beso kiss know samba bossanova close like bossanova caramba bossanova unleash kiss bossanova hold closer soar samba quickest amor sway caress samba stay like samba sound heart begin pound grind pocoloco beso bossanova kiss bossanova beso bossanova kiss bossanova kiss mucho soar dance dance forevermore sway caress samba stay like samba sound heart begin pound grind pocoloco beso bossanova kiss bossanova kiss mucho bossanova kiss bossanova kiss mucho soar dance dance forevermore dance bossanova romance bossanova kiss bossanova kiss mucho bossanova little mucho bossanova dance kiss kiss kiss kiss kiss kiss kiss mucho mucho mucho,97,0.001169590656,0.001169590701,0.001169590669,0.05028902687,0.001169590645,0.02352999187,0.5414491865,0.001169590687,0.001169590689,0.001169590779,0.001169590668,0.3146261534,0.001169590651,0.05373137185,0.001169590721,0.001169590646,romantic,0.7714285714
54425,noro morales,silencio,1952,jazz,fear dark fear thunder fear silence spirit dead instead fear avarice deceipt bend neighbor best friend hearts mind know escape show temptation fear lie ahead deadly sin consider friends today trust risky cower seek shelter moral decay follow fool dare care trust believe lie sick mind harbor news propaganda machine demand worst good seven deadly sin airplay,57,0.001461988308,0.48796507,0.140560688,0.001461988368,0.001461988306,0.001461988309,0.001461988323,0.2387312096,0.001461988337,0.001461988324,0.001461988348,0.001461988382,0.07763017602,0.001461988308,0.00146198844,0.03464501968,violence,0.9714285714
77225,rage against the machine,pistol grip pump,2000,rock,pistolgrip pump time pistolgrip pump time pistolgrip pump time fuckin niggas shit fuckin pistolgrip pump time pistolgrip pump time pistolgrip pump time fuckin niggas shit fuckin raise hood call brothers hood chivalrous rest defense ligaments pistolgrip pump riskin life live give late slip slackup lips track shoot steel clip pump say question civic showbiz shit fool kill fool come onwhat think care motherfuckerz delay right away pistolgrip pump time pistolgrip pump time pistolgrip pump time fuckin niggas shit fuckin pistolgrip pump time pistolgrip pump time pistolgrip pump time fuckin niggas shit fuckin pistolgrip pump time right cause trick blind understand remember show time gotta look shoulder strap nothin intent gettin high give shit pass trouble double best pal sucka million get family better point gun aight pistolgrip pump time pistolgrip pump time pistolgrip pump time fuckin niggas shit fuckin pistolgrip pump time pistolgrip pump time pistolgrip pump time fuckin niggas shit fuckin,152,0.0006747638521,0.0006747638997,0.1340442917,0.2938193012,0.0006747638359,0.0006747638738,0.01299030453,0.06601219622,0.4601453394,0.0006747638664,0.0006747638798,0.0006747638544,0.02421663673,0.0006747638689,0.0006747639353,0.0006747638332,obscene,0.2857142857
42962,taste,railway and gun,1970,blues,railway leave time choose tell tell lose throw away leave better inside heart tell inside mind woohoo wonder look wonder gotta tell come everybody say come right woohoo railway leave time choose tell tell lose woohoo woohoo,37,0.05187375758,0.001644736904,0.001644736942,0.08411770259,0.03734087785,0.001644736851,0.001644736851,0.4605643461,0.001644736924,0.001644736862,0.001644736894,0.001644736866,0.001644736863,0.001644736894,0.3145940976,0.001644736846,sadness,0.7142857143
28825,randy travis,messin' with my mind,1986,country,say thing care hang long ahead leave start messin mind place play pass time start messin mind believe mind change life rearanged swear thing stay incline start messin mind line party time leave think wanna change suit fine start messin mind,41,0.00150375941,0.001503759429,0.1321484655,0.492312469,0.001503759402,0.001503759414,0.001503759405,0.321439391,0.001503759564,0.001503759575,0.001503759495,0.001503759424,0.001503759406,0.001503759422,0.001503759515,0.001503759407,night/time,0.4857142857
16881,paramore,playing god,2009,pop,decisions precision maybe want change simply age yeah logical cram ideas throat woah believe time point finger bend break break time point finger point mirror game play acquaint lonely holy humble opinion believe deserve point view thing woah believe time point finger bend break break time point finger point mirror second point mirror half good get point mirror side fence point mirror hint regret hold know believe time point finger bend break break time point finger point mirror know believe time point finger bend break break time point finger point mirror,91,0.0007112375573,0.5436575298,0.1146967193,0.0982858207,0.01472032301,0.000711237558,0.0007112375993,0.0755240934,0.0007112375962,0.0007112376008,0.0007112375807,0.0007112375643,0.0007112375551,0.0007112375652,0.1188856545,0.01502772354,violence,0.1571428571